preciso desenvolver uma modelagem para um problema de dimensionamento de lotes, primeiro devemos dimensionar um planejamento agregado. Atualmente, tenho os seguintes dados:

produtos (kg):

faturamento (vendas):

PRODUTO	jan/24	fev/24	mar/24	abr/24	mai/24	jun/24	jul/24	ago/24	set/24	out/24	nov/24	dez/24	jan/25	fev/25	mar/25	abr/25
CORACAO 06	 467 	 882 	 1.539 	 1.763 	 1.407 	 866 	 810 	 652 	 513 	 484 	 359 	 116 	 289 	 656 	 1.135 	 1.697 
FAT BALL 250	 881 	 947 	 1.151 	 1.071 	 1.157 	 1.370 	 1.285 	 1.441 	 1.450 	 1.582 	 1.458 	 696 	 1.016 	 951 	 1.378 	 1.257 
GF 6.5	 17.730 	 17.653 	 18.304 	 16.697 	 17.655 	 23.709 	 17.632 	 23.135 	 23.751 	 24.283 	 23.916 	 10.628 	 13.137 	 9.272 	 12.467 	 12.613 
MAXI BALL 350	 838 	 891 	 1.106 	 1.083 	 1.128 	 1.298 	 703 	 839 	 841 	 803 	 682 	 323 	 948 	 895 	 1.335 	 1.149 
PIC 260	 2.839 	 2.909 	 3.456 	 3.367 	 3.587 	 4.155 	 3.009 	 3.927 	 3.791 	 3.861 	 3.832 	 1.861 	 3.790 	 3.559 	 3.844 	 4.137 
TOP 6.5	 11.324 	 12.648 	 14.465 	 14.211 	 16.121 	 16.860 	 13.611 	 17.318 	 16.583 	 19.118 	 16.453 	 7.164 	 8.278 	 11.199 	 11.365 	 12.516 
RED. 16	 10.558 	 11.170 	 13.072 	 13.680 	 15.391 	 16.579 	 12.413 	 14.766 	 15.043 	 17.091 	 15.286 	 6.967 	 12.779 	 14.930 	 15.874 	 16.866 
																

tenho dados de produção, dados de vendas e uma previsão de demanda que certanebte terpa algum erro.

Meu objetivo é fazer a modelagem matemática cujo objetivo é minimizar as faltas em determinado periodo.

Há uma série de dados necessários para deixar a solução de otimização mais condizente com a realidade, como por exemplo a capacidade produtiva de cada uma das maquinas disponiveis. Temos 28 maquinas no total e algumas produzem certos tipos de produtos, mas essas informações serão adquiridas com o tempo. 
